date,level,temp,conductivity,hyd_dia,area,q_1,q_2
24/04/2019 16:10,0.064422402,9,91,0.127203927,0.042197743,0.003650368,0.003187531
24/04/2019 16:15,0.070125087,8.9,91,0.138464044,0.049999103,0.004576857,0.003996548
24/04/2019 16:20,0.063827771,8.9,91,0.126029809,0.041422352,0.003561208,0.003109676
24/04/2019 16:25,0.063530455,8.8,91,0.125442751,0.041037352,0.003517144,0.003071199
24/04/2019 16:30,0.06923314,8.8,91,0.136702869,0.048735278,0.004423258,0.003862425
24/04/2019 16:35,0.068935824,8.8,90,0.13611581,0.048317598,0.004372785,0.003818352
24/04/2019 16:40,0.068638508,8.7,90,0.135528752,0.047901716,0.004322674,0.003774594
24/04/2019 16:45,0.062341193,8.7,90,0.123094517,0.03951533,0.0033443,0.00292027
24/04/2019 16:50,0.062043877,8.7,90,0.122507458,0.039139318,0.003301936,0.002883278
24/04/2019 16:55,0.067746561,8.6,90,0.133767576,0.046664854,0.004174498,0.003645205
24/04/2019 17:00,0.055449246,8.6,90,0.109486165,0.031261275,0.002446959,0.002136704
24/04/2019 17:05,0.06115193,8.6,90,0.120746283,0.038022068,0.003176864,0.002774064
24/04/2019 17:10,0.054854614,8.5,90,0.108312048,0.030594385,0.002377607,0.002076145
24/04/2019 17:15,0.060557299,8.5,90,0.119572166,0.037286222,0.003095154,0.002702713
24/04/2019 17:20,0.066259983,8.4,90,0.130832284,0.044639368,0.003934671,0.003435787
24/04/2019 17:25,0.059962667,8.4,89,0.118398049,0.036557567,0.003014769,0.002632521
24/04/2019 17:30,0.065665352,8.4,89,0.129658167,0.043841756,0.003841212,0.003354178
24/04/2019 17:35,0.059368036,8.4,89,0.117223932,0.035836102,0.002935703,0.002563479
24/04/2019 17:40,0.07107072,8.3,89,0.140331226,0.051356667,0.004743295,0.004141884
24/04/2019 17:45,0.064773405,8.3,89,0.127896991,0.042658821,0.003703646,0.003234054
24/04/2019 17:50,0.058476089,8.2,89,0.115462756,0.034767385,0.002819554,0.002462057
24/04/2019 17:55,0.052178773,8.2,89,0.103028521,0.027682361,0.002080759,0.001816936
24/04/2019 18:00,0.051881458,8.1,88,0.102441463,0.02736779,0.002049293,0.001789459
24/04/2019 18:05,0.051584142,8.1,88,0.101854404,0.027055017,0.002018125,0.001762243
24/04/2019 18:10,0.063286826,8,88,0.124961698,0.040723213,0.003481292,0.003039892
24/04/2019 18:15,0.056989511,8,88,0.112527464,0.033022143,0.002632437,0.002298666
24/04/2019 18:20,0.056692195,8,88,0.111940405,0.032678487,0.002595974,0.002266825
24/04/2019 18:25,0.056394879,7.9,88,0.111353347,0.032336629,0.002559827,0.002235262
24/04/2019 18:30,0.062097564,7.9,88,0.122613464,0.039207082,0.003309561,0.002889935
24/04/2019 18:35,0.055800248,7.9,88,0.11017923,0.031658305,0.002488482,0.002172963
24/04/2019 18:40,0.049502932,7.9,88,0.097744995,0.024915938,0.001808232,0.001578962
24/04/2019 18:45,0.061205617,7.8,88,0.120852289,0.038088858,0.003184307,0.002780563
24/04/2019 18:50,0.048908301,7.8,87,0.096570878,0.024320951,0.001750888,0.00152889
24/04/2019 18:55,0.048610985,7.8,87,0.095983819,0.024026153,0.001722649,0.001504231
24/04/2019 19:00,0.04831367,7.8,87,0.095396761,0.023733153,0.001694695,0.001479822
24/04/2019 19:05,0.048016354,7.7,87,0.094809702,0.023441951,0.001667027,0.001455662
24/04/2019 19:10,0.047719038,7.7,87,0.094222644,0.023152546,0.001639643,0.00143175
24/04/2019 19:15,0.053421723,7.7,87,0.105482761,0.029016911,0.002215572,0.001934656
24/04/2019 19:20,0.059124407,7.7,87,0.116742879,0.035542583,0.002903686,0.002535522
24/04/2019 19:25,0.052827091,7.6,87,0.104308644,0.028374538,0.002150417,0.001877762
24/04/2019 19:30,0.052529776,7.6,87,0.103721586,0.028056048,0.002118295,0.001849712
24/04/2019 19:35,0.04623246,7.6,87,0.091287351,0.021732486,0.001506943,0.001315875
24/04/2019 19:40,0.057935144,7.6,87,0.114394645,0.034127116,0.002750535,0.002401789
24/04/2019 19:45,0.045637829,7.6,87,0.090113234,0.021177044,0.00145581,0.001271225
24/04/2019 19:50,0.045340513,7.6,87,0.089526175,0.02090202,0.001430657,0.001249261
24/04/2019 19:55,0.045043197,7.5,87,0.088939117,0.020628793,0.001405776,0.001227535
24/04/2019 20:00,0.050745882,7.5,87,0.100199235,0.026182855,0.001931851,0.001686908
24/04/2019 20:05,0.044448566,7.5,87,0.087765,0.020087732,0.00135683,0.001184795
24/04/2019 20:10,0.05615125,7.5,87,0.110872294,0.03205784,0.002530444,0.002209604
24/04/2019 20:15,0.049853935,7.5,87,0.098438059,0.025270526,0.001842624,0.001608994
24/04/2019 20:20,0.043556619,7.5,87,0.086003824,0.019289622,0.001285433,0.00112245
24/04/2019 20:25,0.067259303,7.5,87,0.132805471,0.045996006,0.004094912,0.00357571
24/04/2019 20:30,0.048961988,7.4,87,0.096676884,0.024374374,0.001756018,0.001533369
24/04/2019 20:35,0.054664672,7.4,87,0.107937001,0.030382877,0.002355716,0.00205703
24/04/2019 20:40,0.048367356,7.4,87,0.095502767,0.023785928,0.001699722,0.001484211
24/04/2019 20:45,0.048070041,7.4,87,0.094915708,0.023494401,0.001672002,0.001460006
24/04/2019 20:50,0.041772725,7.4,86,0.082481473,0.017741936,0.001149791,0.001004007
24/04/2019 20:55,0.053475409,7.4,86,0.105588767,0.029075262,0.002221515,0.001939845
24/04/2019 21:00,0.041178094,7.4,87,0.081307356,0.017240421,0.001106662,0.000966346
24/04/2019 21:05,0.040880778,7.4,86,0.080720298,0.01699236,0.001085482,0.000947852
24/04/2019 21:10,0.046583462,7.4,86,0.091980416,0.02206373,0.001537646,0.001342685
24/04/2019 21:15,0.046286147,7.4,87,0.091393357,0.021782988,0.001511614,0.001319954
24/04/2019 21:20,0.045988831,7.3,86,0.090806299,0.021504044,0.00148586,0.001297465
24/04/2019 21:25,0.045691515,7.3,86,0.09021924,0.021226897,0.001460382,0.001275217
24/04/2019 21:30,0.0453942,7.3,86,0.089632181,0.020951548,0.001435178,0.001253209
24/04/2019 21:35,0.063096884,7.3,86,0.124586652,0.040479135,0.003453499,0.003015623
24/04/2019 21:40,0.026799568,7.3,86,0.052916535,0.00730249,0.000352029,0.000307395
24/04/2019 21:45,0.050502253,7.3,86,0.099718182,0.025932053,0.001907218,0.001665398
24/04/2019 21:50,0.044204937,7.3,86,0.087283947,0.019868128,0.001337089,0.001167557
24/04/2019 21:55,0.043907621,7.3,86,0.086696889,0.019601767,0.001313242,0.001146733
24/04/2019 22:00,0.031610306,7.3,86,0.062415478,0.010159511,0.000546741,0.000477418
24/04/2019 22:05,0.031128938,7.3,86,0.061465002,0.009852444,0.000524819,0.000458276
24/04/2019 22:10,0.036647569,7.3,86,0.072361703,0.013655442,0.000811008,0.000708179
24/04/2019 22:15,0.036166201,7.3,86,0.071411227,0.013299067,0.000782911,0.000683645
24/04/2019 22:20,0.041684833,7.2,86,0.082307928,0.017667355,0.001143351,0.000998384
24/04/2019 22:25,0.041203465,7.2,86,0.081357452,0.017261672,0.001108481,0.000967934
24/04/2019 22:30,0.034722097,7.2,86,0.0685598,0.012258216,0.000702297,0.000613251
24/04/2019 22:35,0.040240728,7.2,86,0.079456501,0.016464444,0.001040752,0.000908793
24/04/2019 22:40,0.03375936,7.2,86,0.066658849,0.011587875,0.000651563,0.00056895
24/04/2019 22:45,0.039277992,7.2,86,0.077555549,0.015686063,0.00097567,0.000851963
24/04/2019 22:50,0.038796624,7.2,86,0.076605073,0.01530394,0.000944109,0.000824403
24/04/2019 22:55,0.044315255,7.2,86,0.087501774,0.019967418,0.001346006,0.001175343
24/04/2019 23:00,0.031833887,7.2,86,0.062856946,0.010303736,0.000557114,0.000486476
24/04/2019 23:05,0.031352519,7.2,86,0.06190647,0.009994482,0.000534931,0.000467106
24/04/2019 23:10,0.036871151,7.1,86,0.072803171,0.013822569,0.00082427,0.000719759
24/04/2019 23:15,0.030389783,7.1,86,0.060005519,0.009390108,0.000492242,0.00042983
24/04/2019 23:20,0.035908414,7.1,86,0.070902219,0.013110156,0.000768118,0.000670727
24/04/2019 23:25,0.053427046,7.1,86,0.105493273,0.029022694,0.002216161,0.00193517
24/04/2019 23:30,0.040945678,7.1,86,0.080848444,0.017046355,0.001090083,0.00095187
24/04/2019 23:35,0.05246431,7.1,86,0.103592321,0.027986161,0.002111262,0.001843571
24/04/2019 23:40,0.033982941,7.1,85,0.067100317,0.011741872,0.000663133,0.000579053
24/04/2019 23:45,0.051501573,7.1,86,0.10169137,0.026968475,0.002009523,0.001754731
24/04/2019 23:50,0.039020205,7.1,86,0.077046541,0.015480839,0.000958687,0.000837134
24/04/2019 23:55,0.038538837,7.1,86,0.076096066,0.01510124,0.000927473,0.000809877
25/04/2019 00:00,0.050057469,7.1,86,0.098839943,0.025477286,0.001862753,0.001626571
25/04/2019 00:05,0.0495761,7.1,86,0.097889467,0.024989647,0.001815367,0.001585193
25/04/2019 00:10,0.043094732,7.1,86,0.085091815,0.018882686,0.001249404,0.001090989
25/04/2019 00:15,0.054613364,7.1,86,0.107835692,0.030325869,0.002349824,0.002051886
25/04/2019 00:20,0.060131996,7.1,86,0.118732393,0.036764328,0.003037525,0.002652392
25/04/2019 00:25,0.053650627,7.1,86,0.105934741,0.02926611,0.002240979,0.001956841
25/04/2019 00:30,0.053169259,7.1,86,0.104984265,0.028743299,0.002187761,0.001910371
25/04/2019 00:35,0.046687891,7.1,86,0.092186613,0.022162763,0.001546855,0.001350726
25/04/2019 00:40,0.052206523,7.1,86,0.103083313,0.027711813,0.002083712,0.001819514
25/04/2019 00:45,0.051725155,7.1,86,0.102132838,0.027203137,0.00203287,0.001775119
25/04/2019 00:50,0.033243786,7.1,85,0.065640833,0.011236637,0.000625364,0.000546073
25/04/2019 00:55,0.044762418,7.1,86,0.08838471,0.020372413,0.001382529,0.001207236
25/04/2019 01:00,0.05028105,7.1,86,0.099281411,0.025705383,0.001885022,0.001646017
25/04/2019 01:05,0.049799682,7.1,86,0.098330935,0.025215555,0.001837282,0.001604329
25/04/2019 01:10,0.049318314,7.1,85,0.097380459,0.024730439,0.001790304,0.001563308
25/04/2019 01:15,0.042836945,7,85,0.084582807,0.018657454,0.001229573,0.001073673
25/04/2019 01:20,0.048355577,7,85,0.095479508,0.023774344,0.001698618,0.001483247
25/04/2019 01:25,0.047874209,7,85,0.094529032,0.023303364,0.0016539,0.001444199
25/04/2019 01:30,0.053392841,7,85,0.105425733,0.028985544,0.00221238,0.001931868
25/04/2019 01:35,0.046911472,7,85,0.092628081,0.02237554,0.001566688,0.001368044
25/04/2019 01:40,0.046430104,6.9,85,0.091677605,0.021918696,0.001524184,0.00133093
25/04/2019 01:45,0.045948736,6.9,85,0.090727129,0.021466564,0.001482408,0.001294451
25/04/2019 01:50,0.051467368,6.9,85,0.10162383,0.026932664,0.002005966,0.001751625
25/04/2019 01:55,0.044986,6.9,85,0.088826178,0.020576436,0.001401021,0.001223383
25/04/2019 02:00,0.044504631,6.9,85,0.087875702,0.020138439,0.001361399,0.001188785
25/04/2019 02:05,0.062023263,6.8,84,0.122466756,0.039113314,0.003299012,0.002880724
25/04/2019 02:10,0.049541895,6.8,85,0.097821927,0.024955175,0.001812029,0.001582279
25/04/2019 02:15,0.043060527,6.8,84,0.085024275,0.018852722,0.001246761,0.001088682
25/04/2019 02:20,0.042579158,6.8,84,0.0840738,0.018433574,0.00120994,0.001056529
25/04/2019 02:25,0.04809779,6.7,84,0.0949705,0.023521534,0.001674577,0.001462255
25/04/2019 02:30,0.047616422,6.7,84,0.094020025,0.023053078,0.001630258,0.001423554
25/04/2019 02:35,0.047135054,6.7,84,0.093069549,0.022589333,0.001586678,0.0013855
25/04/2019 02:40,0.046653686,6.7,84,0.092119073,0.022130301,0.001543835,0.001348089
25/04/2019 02:45,0.040172317,6.6,84,0.079321421,0.016408511,0.00103604,0.000904679
25/04/2019 02:50,0.039690949,6.6,84,0.078370945,0.016017634,0.001003265,0.000876059
25/04/2019 02:55,0.051209581,6.6,84,0.101114822,0.026663542,0.001979284,0.001728327
25/04/2019 03:00,0.026728213,6.6,84,0.052775641,0.007263655,0.000349536,0.000305217
25/04/2019 03:05,0.038246844,6.6,84,0.075519518,0.014873275,0.000908852,0.000793617
25/04/2019 03:10,0.043765476,6.5,84,0.086416219,0.019475056,0.001301935,0.00113686
25/04/2019 03:15,0.043284108,6.5,84,0.085465743,0.019049007,0.001264098,0.001103821
25/04/2019 03:20,0.03680274,6.5,84,0.072668091,0.013771324,0.000820198,0.000716203
25/04/2019 03:25,0.042321372,6.5,84,0.083564792,0.018211045,0.001190504,0.001039558
25/04/2019 03:30,0.041840003,6.4,84,0.082614316,0.017799132,0.001154736,0.001008325
25/04/2019 03:35,0.041358635,6.4,84,0.081663841,0.017391931,0.001119648,0.000977686
25/04/2019 03:40,0.040877267,6.4,84,0.080713365,0.016989441,0.001085233,0.000947635
25/04/2019 03:45,0.040395899,6.4,84,0.079762889,0.016591664,0.001051488,0.000918168
25/04/2019 03:50,0.039914531,6.4,83,0.078812413,0.016198599,0.001018406,0.00088928
25/04/2019 03:55,0.051433162,6.3,83,0.10155629,0.026896877,0.002002412,0.001748523
25/04/2019 04:00,0.044951794,6.3,83,0.088758638,0.020545157,0.001398182,0.001220904
25/04/2019 04:05,0.038937636,6.3,83,0.076883507,0.015415392,0.000953287,0.000832418
25/04/2019 04:10,0.038923478,6.3,83,0.076855552,0.015404183,0.000952363,0.000831611
25/04/2019 04:15,0.03890932,6.3,83,0.076827597,0.015392979,0.00095144,0.000830805
25/04/2019 04:20,0.044895163,6.3,83,0.088646818,0.020493422,0.00139349,0.001216806
25/04/2019 04:25,0.044881005,6.2,83,0.088618863,0.020480499,0.001392318,0.001215783
